YEAR,LocationDesc,TopicDesc,MeasureDesc,Response,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Gender,Race,Age,Education
2016,Kansas,Cigarette Use (Adults),Current Smoking,,17.2,,,Overall,All Races,All Ages,All Grades
2015,Kansas,Cigarette Use (Adults),Current Smoking,,17.7,,,Overall,All Races,All Ages,All Grades
2014,Kansas,Cigarette Use (Adults),Current Smoking,,18.1,,,Overall,All Races,All Ages,All Grades
2013,Kansas,Cigarette Use (Adults),Current Smoking,,20,,,Overall,All Races,All Ages,All Grades
2012,Kansas,Cigarette Use (Adults),Current Smoking,,19.4,,,Overall,All Races,All Ages,All Grades
2011,Kansas,Cigarette Use (Adults),Current Smoking,,22,,,Overall,All Races,All Ages,All Grades
2016,Kentucky,Cigarette Use (Adults),Current Smoking,,24.5,,,Overall,All Races,All Ages,All Grades
2015,Kentucky,Cigarette Use (Adults),Current Smoking,,25.9,,,Overall,All Races,All Ages,All Grades
2014,Kentucky,Cigarette Use (Adults),Current Smoking,,26.2,,,Overall,All Races,All Ages,All Grades
2013,Kentucky,Cigarette Use (Adults),Current Smoking,,26.5,,,Overall,All Races,All Ages,All Grades
2012,Kentucky,Cigarette Use (Adults),Current Smoking,,28.3,,,Overall,All Races,All Ages,All Grades
2011,Kentucky,Cigarette Use (Adults),Current Smoking,,29,,,Overall,All Races,All Ages,All Grades
2016,Louisiana,Cigarette Use (Adults),Current Smoking,,22.8,,,Overall,All Races,All Ages,All Grades
2015,Louisiana,Cigarette Use (Adults),Current Smoking,,21.9,,,Overall,All Races,All Ages,All Grades
2014,Louisiana,Cigarette Use (Adults),Current Smoking,,24,,,Overall,All Races,All Ages,All Grades
2013,Louisiana,Cigarette Use (Adults),Current Smoking,,23.5,,,Overall,All Races,All Ages,All Grades
2012,Louisiana,Cigarette Use (Adults),Current Smoking,,24.8,,,Overall,All Races,All Ages,All Grades
2011,Louisiana,Cigarette Use (Adults),Current Smoking,,25.7,,,Overall,All Races,All Ages,All Grades
2016,Maine,Cigarette Use (Adults),Current Smoking,,19.8,,,Overall,All Races,All Ages,All Grades
2015,Maine,Cigarette Use (Adults),Current Smoking,,19.5,,,Overall,All Races,All Ages,All Grades
2014,Maine,Cigarette Use (Adults),Current Smoking,,19.3,,,Overall,All Races,All Ages,All Grades
2013,Maine,Cigarette Use (Adults),Current Smoking,,20.2,,,Overall,All Races,All Ages,All Grades
2012,Maine,Cigarette Use (Adults),Current Smoking,,20.3,,,Overall,All Races,All Ages,All Grades
2011,Maine,Cigarette Use (Adults),Current Smoking,,22.8,,,Overall,All Races,All Ages,All Grades
2016,Maryland,Cigarette Use (Adults),Current Smoking,,13.7,,,Overall,All Races,All Ages,All Grades
2015,Maryland,Cigarette Use (Adults),Current Smoking,,15.1,,,Overall,All Races,All Ages,All Grades
2014,Maryland,Cigarette Use (Adults),Current Smoking,,14.6,,,Overall,All Races,All Ages,All Grades
2013,Maryland,Cigarette Use (Adults),Current Smoking,,16.4,,,Overall,All Races,All Ages,All Grades
2012,Maryland,Cigarette Use (Adults),Current Smoking,,16.2,,,Overall,All Races,All Ages,All Grades
2011,Maryland,Cigarette Use (Adults),Current Smoking,,19.1,,,Overall,All Races,All Ages,All Grades
2016,Massachusetts,Cigarette Use (Adults),Current Smoking,,13.6,,,Overall,All Races,All Ages,All Grades
2015,Massachusetts,Cigarette Use (Adults),Current Smoking,,14,,,Overall,All Races,All Ages,All Grades
2014,Massachusetts,Cigarette Use (Adults),Current Smoking,,14.7,,,Overall,All Races,All Ages,All Grades
2013,Massachusetts,Cigarette Use (Adults),Current Smoking,,16.6,,,Overall,All Races,All Ages,All Grades
2012,Massachusetts,Cigarette Use (Adults),Current Smoking,,16.4,,,Overall,All Races,All Ages,All Grades
2011,Massachusetts,Cigarette Use (Adults),Current Smoking,,18.2,,,Overall,All Races,All Ages,All Grades
2016,Michigan,Cigarette Use (Adults),Current Smoking,,20.4,,,Overall,All Races,All Ages,All Grades
2015,Michigan,Cigarette Use (Adults),Current Smoking,,20.7,,,Overall,All Races,All Ages,All Grades
2014,Michigan,Cigarette Use (Adults),Current Smoking,,21.2,,,Overall,All Races,All Ages,All Grades
2013,Michigan,Cigarette Use (Adults),Current Smoking,,21.4,,,Overall,All Races,All Ages,All Grades
2012,Michigan,Cigarette Use (Adults),Current Smoking,,23.3,,,Overall,All Races,All Ages,All Grades
2011,Michigan,Cigarette Use (Adults),Current Smoking,,23.3,,,Overall,All Races,All Ages,All Grades
2016,Minnesota,Cigarette Use (Adults),Current Smoking,,15.2,,,Overall,All Races,All Ages,All Grades
2015,Minnesota,Cigarette Use (Adults),Current Smoking,,16.2,,,Overall,All Races,All Ages,All Grades
2014,Minnesota,Cigarette Use (Adults),Current Smoking,,16.3,,,Overall,All Races,All Ages,All Grades
2013,Minnesota,Cigarette Use (Adults),Current Smoking,,18,,,Overall,All Races,All Ages,All Grades
2012,Minnesota,Cigarette Use (Adults),Current Smoking,,18.8,,,Overall,All Races,All Ages,All Grades
2011,Minnesota,Cigarette Use (Adults),Current Smoking,,19.1,,,Overall,All Races,All Ages,All Grades
2016,Mississippi,Cigarette Use (Adults),Current Smoking,,22.7,,,Overall,All Races,All Ages,All Grades
2015,Mississippi,Cigarette Use (Adults),Current Smoking,,22.5,,,Overall,All Races,All Ages,All Grades
2014,Mississippi,Cigarette Use (Adults),Current Smoking,,23,,,Overall,All Races,All Ages,All Grades
2013,Mississippi,Cigarette Use (Adults),Current Smoking,,24.8,,,Overall,All Races,All Ages,All Grades
2012,Mississippi,Cigarette Use (Adults),Current Smoking,,24,,,Overall,All Races,All Ages,All Grades
2011,Mississippi,Cigarette Use (Adults),Current Smoking,,26,,,Overall,All Races,All Ages,All Grades
2016,Missouri,Cigarette Use (Adults),Current Smoking,,22.1,,,Overall,All Races,All Ages,All Grades
2015,Missouri,Cigarette Use (Adults),Current Smoking,,22.3,,,Overall,All Races,All Ages,All Grades
2014,Missouri,Cigarette Use (Adults),Current Smoking,,20.6,,,Overall,All Races,All Ages,All Grades
2013,Missouri,Cigarette Use (Adults),Current Smoking,,22.1,,,Overall,All Races,All Ages,All Grades
2012,Missouri,Cigarette Use (Adults),Current Smoking,,23.9,,,Overall,All Races,All Ages,All Grades
2011,Missouri,Cigarette Use (Adults),Current Smoking,,25,,,Overall,All Races,All Ages,All Grades
2016,Montana,Cigarette Use (Adults),Current Smoking,,18.5,,,Overall,All Races,All Ages,All Grades
2015,Montana,Cigarette Use (Adults),Current Smoking,,18.9,,,Overall,All Races,All Ages,All Grades
2014,Montana,Cigarette Use (Adults),Current Smoking,,19.9,,,Overall,All Races,All Ages,All Grades
2013,Montana,Cigarette Use (Adults),Current Smoking,,19,,,Overall,All Races,All Ages,All Grades
2012,Montana,Cigarette Use (Adults),Current Smoking,,19.7,,,Overall,All Races,All Ages,All Grades
2011,Montana,Cigarette Use (Adults),Current Smoking,,22.1,,,Overall,All Races,All Ages,All Grades
2016,Nebraska,Cigarette Use (Adults),Current Smoking,,17,,,Overall,All Races,All Ages,All Grades
2015,Nebraska,Cigarette Use (Adults),Current Smoking,,17.1,,,Overall,All Races,All Ages,All Grades
2014,Nebraska,Cigarette Use (Adults),Current Smoking,,17.3,,,Overall,All Races,All Ages,All Grades
2013,Nebraska,Cigarette Use (Adults),Current Smoking,,18.5,,,Overall,All Races,All Ages,All Grades
2012,Nebraska,Cigarette Use (Adults),Current Smoking,,19.7,,,Overall,All Races,All Ages,All Grades
2011,Nebraska,Cigarette Use (Adults),Current Smoking,,20,,,Overall,All Races,All Ages,All Grades
2016,Nevada,Cigarette Use (Adults),Current Smoking,,16.5,,,Overall,All Races,All Ages,All Grades
2015,Nevada,Cigarette Use (Adults),Current Smoking,,17.5,,,Overall,All Races,All Ages,All Grades
2014,Nevada,Cigarette Use (Adults),Current Smoking,,17,,,Overall,All Races,All Ages,All Grades
2013,Nevada,Cigarette Use (Adults),Current Smoking,,19.4,,,Overall,All Races,All Ages,All Grades
2012,Nevada,Cigarette Use (Adults),Current Smoking,,18.1,,,Overall,All Races,All Ages,All Grades
2011,Nevada,Cigarette Use (Adults),Current Smoking,,22.9,,,Overall,All Races,All Ages,All Grades
2016,New Hampshire,Cigarette Use (Adults),Current Smoking,,18,,,Overall,All Races,All Ages,All Grades
2015,New Hampshire,Cigarette Use (Adults),Current Smoking,,15.9,,,Overall,All Races,All Ages,All Grades
2014,New Hampshire,Cigarette Use (Adults),Current Smoking,,17.5,,,Overall,All Races,All Ages,All Grades
2013,New Hampshire,Cigarette Use (Adults),Current Smoking,,16.2,,,Overall,All Races,All Ages,All Grades
2012,New Hampshire,Cigarette Use (Adults),Current Smoking,,17.2,,,Overall,All Races,All Ages,All Grades
2011,New Hampshire,Cigarette Use (Adults),Current Smoking,,19.4,,,Overall,All Races,All Ages,All Grades
2016,New Jersey,Cigarette Use (Adults),Current Smoking,,14,,,Overall,All Races,All Ages,All Grades
2015,New Jersey,Cigarette Use (Adults),Current Smoking,,13.5,,,Overall,All Races,All Ages,All Grades
2014,New Jersey,Cigarette Use (Adults),Current Smoking,,15.1,,,Overall,All Races,All Ages,All Grades
2013,New Jersey,Cigarette Use (Adults),Current Smoking,,15.7,,,Overall,All Races,All Ages,All Grades
2012,New Jersey,Cigarette Use (Adults),Current Smoking,,17.3,,,Overall,All Races,All Ages,All Grades
2011,New Jersey,Cigarette Use (Adults),Current Smoking,,16.8,,,Overall,All Races,All Ages,All Grades
2016,New Mexico,Cigarette Use (Adults),Current Smoking,,16.6,,,Overall,All Races,All Ages,All Grades
2015,New Mexico,Cigarette Use (Adults),Current Smoking,,17.5,,,Overall,All Races,All Ages,All Grades
2014,New Mexico,Cigarette Use (Adults),Current Smoking,,19.1,,,Overall,All Races,All Ages,All Grades
2013,New Mexico,Cigarette Use (Adults),Current Smoking,,19.1,,,Overall,All Races,All Ages,All Grades
2012,New Mexico,Cigarette Use (Adults),Current Smoking,,19.3,,,Overall,All Races,All Ages,All Grades
2011,New Mexico,Cigarette Use (Adults),Current Smoking,,21.5,,,Overall,All Races,All Ages,All Grades
2016,New York,Cigarette Use (Adults),Current Smoking,,14.2,,,Overall,All Races,All Ages,All Grades
2015,New York,Cigarette Use (Adults),Current Smoking,,15.2,,,Overall,All Races,All Ages,All Grades
2014,New York,Cigarette Use (Adults),Current Smoking,,14.4,,,Overall,All Races,All Ages,All Grades
2013,New York,Cigarette Use (Adults),Current Smoking,,16.6,,,Overall,All Races,All Ages,All Grades
2012,New York,Cigarette Use (Adults),Current Smoking,,16.2,,,Overall,All Races,All Ages,All Grades
2011,New York,Cigarette Use (Adults),Current Smoking,,18.1,,,Overall,All Races,All Ages,All Grades
2016,North Carolina,Cigarette Use (Adults),Current Smoking,,17.9,,,Overall,All Races,All Ages,All Grades
2015,North Carolina,Cigarette Use (Adults),Current Smoking,,19,,,Overall,All Races,All Ages,All Grades
2014,North Carolina,Cigarette Use (Adults),Current Smoking,,19.1,,,Overall,All Races,All Ages,All Grades
2013,North Carolina,Cigarette Use (Adults),Current Smoking,,20.3,,,Overall,All Races,All Ages,All Grades
2012,North Carolina,Cigarette Use (Adults),Current Smoking,,20.9,,,Overall,All Races,All Ages,All Grades
2011,North Carolina,Cigarette Use (Adults),Current Smoking,,21.8,,,Overall,All Races,All Ages,All Grades
2016,North Dakota,Cigarette Use (Adults),Current Smoking,,19.8,,,Overall,All Races,All Ages,All Grades
2015,North Dakota,Cigarette Use (Adults),Current Smoking,,18.7,,,Overall,All Races,All Ages,All Grades
2014,North Dakota,Cigarette Use (Adults),Current Smoking,,19.9,,,Overall,All Races,All Ages,All Grades
2013,North Dakota,Cigarette Use (Adults),Current Smoking,,21.2,,,Overall,All Races,All Ages,All Grades
2012,North Dakota,Cigarette Use (Adults),Current Smoking,,21.2,,,Overall,All Races,All Ages,All Grades
2011,North Dakota,Cigarette Use (Adults),Current Smoking,,21.9,,,Overall,All Races,All Ages,All Grades
2016,Ohio,Cigarette Use (Adults),Current Smoking,,22.5,,,Overall,All Races,All Ages,All Grades
2015,Ohio,Cigarette Use (Adults),Current Smoking,,21.6,,,Overall,All Races,All Ages,All Grades
2014,Ohio,Cigarette Use (Adults),Current Smoking,,21,,,Overall,All Races,All Ages,All Grades
2013,Ohio,Cigarette Use (Adults),Current Smoking,,23.4,,,Overall,All Races,All Ages,All Grades
2012,Ohio,Cigarette Use (Adults),Current Smoking,,23.3,,,Overall,All Races,All Ages,All Grades
2011,Ohio,Cigarette Use (Adults),Current Smoking,,25.1,,,Overall,All Races,All Ages,All Grades
2016,Oklahoma,Cigarette Use (Adults),Current Smoking,,19.6,,,Overall,All Races,All Ages,All Grades
2015,Oklahoma,Cigarette Use (Adults),Current Smoking,,22.2,,,Overall,All Races,All Ages,All Grades
2014,Oklahoma,Cigarette Use (Adults),Current Smoking,,21.1,,,Overall,All Races,All Ages,All Grades
2013,Oklahoma,Cigarette Use (Adults),Current Smoking,,23.7,,,Overall,All Races,All Ages,All Grades
2012,Oklahoma,Cigarette Use (Adults),Current Smoking,,23.3,,,Overall,All Races,All Ages,All Grades
2011,Oklahoma,Cigarette Use (Adults),Current Smoking,,26.1,,,Overall,All Races,All Ages,All Grades
2016,Oregon,Cigarette Use (Adults),Current Smoking,,16.2,,,Overall,All Races,All Ages,All Grades
2015,Oregon,Cigarette Use (Adults),Current Smoking,,17.1,,,Overall,All Races,All Ages,All Grades
2014,Oregon,Cigarette Use (Adults),Current Smoking,,17,,,Overall,All Races,All Ages,All Grades
2013,Oregon,Cigarette Use (Adults),Current Smoking,,17.3,,,Overall,All Races,All Ages,All Grades
2012,Oregon,Cigarette Use (Adults),Current Smoking,,17.9,,,Overall,All Races,All Ages,All Grades
2011,Oregon,Cigarette Use (Adults),Current Smoking,,19.7,,,Overall,All Races,All Ages,All Grades
2016,Pennsylvania,Cigarette Use (Adults),Current Smoking,,18,,,Overall,All Races,All Ages,All Grades
2015,Pennsylvania,Cigarette Use (Adults),Current Smoking,,18.1,,,Overall,All Races,All Ages,All Grades
2014,Pennsylvania,Cigarette Use (Adults),Current Smoking,,19.9,,,Overall,All Races,All Ages,All Grades
2013,Pennsylvania,Cigarette Use (Adults),Current Smoking,,21,,,Overall,All Races,All Ages,All Grades
2012,Pennsylvania,Cigarette Use (Adults),Current Smoking,,21.4,,,Overall,All Races,All Ages,All Grades
2011,Pennsylvania,Cigarette Use (Adults),Current Smoking,,22.4,,,Overall,All Races,All Ages,All Grades
2016,Puerto Rico,Cigarette Use (Adults),Current Smoking,,10.6,,,Overall,All Races,All Ages,All Grades
2015,Puerto Rico,Cigarette Use (Adults),Current Smoking,,10.7,,,Overall,All Races,All Ages,All Grades
2014,Puerto Rico,Cigarette Use (Adults),Current Smoking,,11.3,,,Overall,All Races,All Ages,All Grades
2013,Puerto Rico,Cigarette Use (Adults),Current Smoking,,10.8,,,Overall,All Races,All Ages,All Grades
2012,Puerto Rico,Cigarette Use (Adults),Current Smoking,,12.6,,,Overall,All Races,All Ages,All Grades
2011,Puerto Rico,Cigarette Use (Adults),Current Smoking,,14.8,,,Overall,All Races,All Ages,All Grades
2016,Rhode Island,Cigarette Use (Adults),Current Smoking,,14.4,,,Overall,All Races,All Ages,All Grades
2015,Rhode Island,Cigarette Use (Adults),Current Smoking,,15.5,,,Overall,All Races,All Ages,All Grades
2014,Rhode Island,Cigarette Use (Adults),Current Smoking,,16.3,,,Overall,All Races,All Ages,All Grades
2013,Rhode Island,Cigarette Use (Adults),Current Smoking,,17.4,,,Overall,All Races,All Ages,All Grades
2012,Rhode Island,Cigarette Use (Adults),Current Smoking,,17.4,,,Overall,All Races,All Ages,All Grades
2011,Rhode Island,Cigarette Use (Adults),Current Smoking,,20,,,Overall,All Races,All Ages,All Grades
2016,South Carolina,Cigarette Use (Adults),Current Smoking,,20,,,Overall,All Races,All Ages,All Grades
2015,South Carolina,Cigarette Use (Adults),Current Smoking,,19.7,,,Overall,All Races,All Ages,All Grades
2014,South Carolina,Cigarette Use (Adults),Current Smoking,,21.5,,,Overall,All Races,All Ages,All Grades
2013,South Carolina,Cigarette Use (Adults),Current Smoking,,22,,,Overall,All Races,All Ages,All Grades
2012,South Carolina,Cigarette Use (Adults),Current Smoking,,22.5,,,Overall,All Races,All Ages,All Grades
2011,South Carolina,Cigarette Use (Adults),Current Smoking,,23.1,,,Overall,All Races,All Ages,All Grades
2016,South Dakota,Cigarette Use (Adults),Current Smoking,,18.1,,,Overall,All Races,All Ages,All Grades
2015,South Dakota,Cigarette Use (Adults),Current Smoking,,20.1,,,Overall,All Races,All Ages,All Grades
2014,South Dakota,Cigarette Use (Adults),Current Smoking,,18.6,,,Overall,All Races,All Ages,All Grades
2013,South Dakota,Cigarette Use (Adults),Current Smoking,,19.6,,,Overall,All Races,All Ages,All Grades
2012,South Dakota,Cigarette Use (Adults),Current Smoking,,22,,,Overall,All Races,All Ages,All Grades
2011,South Dakota,Cigarette Use (Adults),Current Smoking,,23,,,Overall,All Races,All Ages,All Grades
2016,Tennessee,Cigarette Use (Adults),Current Smoking,,22.1,,,Overall,All Races,All Ages,All Grades
